phase,T_star,rho,L,mean_P,mean_op,mean_e
liquid,0.28,0.55,15.2554,-0.047868,0.9991,-2.3779
liquid,0.28,0.6,14.6059,-0.138742,0.9994,-2.3511
liquid,0.28,0.65,14.0329,-0.214999,0.9999,-2.3714
liquid,0.3,0.55,15.2554,-0.028287,0.9992,-2.2626
liquid,0.3,0.6,14.6059,-0.119784,0.9988,-2.2895
liquid,0.3,0.65,14.0329,-0.197649,0.9997,-2.2613
liquid,0.33,0.55,15.2554,-0.051696,0.9977,-2.1273
liquid,0.33,0.6,14.6059,-0.12773,0.9988,-2.1709
liquid,0.33,0.65,14.0329,-0.175549,0.9992,-2.1821
liquid,0.36,0.55,15.2554,-0.06606,0.9968,-2.068
liquid,0.36,0.6,14.6059,-0.089084,0.9986,-2.0862
liquid,0.36,0.65,14.0329,-0.119614,0.9991,-2.1308
liquid,0.39,0.55,15.2554,-0.026368,0.9924,-2.0005
liquid,0.39,0.6,14.6059,-0.063284,0.9964,-2.0072
liquid,0.39,0.65,14.0329,-0.106838,0.9992,-2.0366
gas,0.28,0.03,65.3197,0.004459,0.0513,
gas,0.28,0.05,50.5964,0.00394,0.0717,
gas,0.28,0.08,40.0,0.004703,0.0979,
gas,0.3,0.03,65.3197,0.005074,0.0528,
gas,0.3,0.05,50.5964,0.005378,0.0693,
gas,0.3,0.08,40.0,0.00483,0.0931,
gas,0.33,0.03,65.3197,0.006339,0.0469,
gas,0.33,0.05,50.5964,0.007339,0.0683,
gas,0.33,0.08,40.0,0.007325,0.1031,
gas,0.36,0.03,65.3197,0.00765,0.0462,
gas,0.36,0.05,50.5964,0.009322,0.071,
gas,0.36,0.08,40.0,0.011005,0.0933,
gas,0.39,0.03,65.3197,0.008858,0.0436,
gas,0.39,0.05,50.5964,0.011162,0.0666,
gas,0.39,0.08,40.0,0.01402,0.1008,
